BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	Sample_type_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMEA1027567	ERX011356	3N	5/31/14	5479	3668	3/23/12	ERR031031	ERS025225	E-MTAB-567:3N	normal	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027565	ERX011353	3T	5/31/14	5547	3709	3/23/12	ERR031032	ERS025238	E-MTAB-567:3T	tumor	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027574	ERX011352	4N	5/31/14	5830	4132	3/23/12	ERR031033	ERS025237	E-MTAB-567:4N	normal	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027572	ERX011344	5T	5/31/14	6105	4318	3/23/12	ERR031035	ERS025247	E-MTAB-567:5N	normal	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027570	ERX011362	6T	5/31/14	6124	4351	3/23/12	ERR031038	ERS025227	E-MTAB-567:6T	tumor	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027568	ERX011349	7N	5/31/14	6592	4778	3/23/12	ERR031039	ERS025230	E-MTAB-567:7N	normal	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027577	ERX011361	7T	9/5/12	5832	4277	3/23/12	ERR031040	ERS025229	E-MTAB-567:7T	tumor	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027573	ERX011345	5T	5/31/14	5697	3865	3/23/12	ERR031041	ERS025224	E-MTAB-567:8N	normal	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027561	ERX011357	8T	5/31/14	6006	4014	3/23/12	ERR031042	ERS025242	E-MTAB-567:8T	tumor	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027563	ERX011348	9N	9/5/12	5882	4027	3/23/12	ERR031043	ERS025233	E-MTAB-567:9N	normal	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027583	ERX011365	9T	5/31/14	5966	3898	3/23/12	ERR031044	ERS025226	E-MTAB-567:9T	tumor	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027588	ERX011346	11T	6/15/13	5959	3914	6/21/13	ERR299295	ERS025228	E-MTAB-567:11T	tumor	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027580	ERX011360	12N	6/15/13	5540	3657	6/21/13	ERR299296	ERS025239	E-MTAB-567:12N	normal	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027562	ERX011350	4T	6/15/13	5923	4041	6/21/13	ERR299297	ERS025235	E-MTAB-567:4T	tumor	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027584	ERX011343	5T	6/15/13	5948	4121	6/21/13	ERR299298	ERS025221	E-MTAB-567:5T	tumor	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
SAMEA1027582	ERX011364	6N	6/15/13	6234	4157	6/21/13	ERR299299	ERS025231	E-MTAB-567:6N	normal	OTHER	<not provided>	PRJEB2449	BGI	public	200	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP000550	<not provided>	<not provided>	<not provided>
